DznFile,Solution,Time
test-plate-001.dzn,No,0
test-plate-002.dzn,No,0
test-plate-003.dzn,Yes,0.47
test-plate-004.dzn,Yes,0.27
test-plate-005.dzn,Yes,0.62
test-plate-006.dzn,Yes,0.36
test-plate-007.dzn,Yes,0.39
test-plate-008.dzn,Yes,0.37
test-plate-009.dzn,Yes,594.93
test-plate-010.dzn,Yes,0.64
test-plate-011.dzn,Yes,0.30
test-plate-012.dzn,Yes,0.69
test-plate-013.dzn,Yes,2.86
test-plate-014.dzn,Yes,0.62
test-plate-015.dzn,Yes,0.44
test-plate-016.dzn,Yes,0.32
test-plate-017.dzn,Yes,0.52
test-plate-018.dzn,No,0
test-plate-019.dzn,No,0
test-plate-020.dzn,No,0
test-plate-021.dzn,Yes,0.41
test-plate-022.dzn,Yes,0.46
test-plate-023.dzn,Yes,0.43
test-plate-024.dzn,Yes,0.72
test-plate-025.dzn,Yes,0.88
test-plate-026.dzn,Yes,0.86
test-plate-027.dzn,Yes,2.39
test-plate-028.dzn,Yes,0.88
test-plate-029.dzn,Yes,1.53
test-plate-030.dzn,Yes,1.45
test-plate-031.dzn,No,0
test-plate-032.dzn,Yes,1.93
test-plate-033.dzn,Yes,3.14
test-plate-034.dzn,Yes,2.78
test-plate-035.dzn,Yes,2.00
test-plate-036.dzn,Yes,3.52
test-plate-037.dzn,Yes,579.26
test-plate-038.dzn,Yes,1345.88
test-plate-039.dzn,Yes,88.47
test-plate-040.dzn,Yes,24.82
test-plate-041.dzn,No,0
test-plate-042.dzn,Yes,9.16
test-plate-043.dzn,Yes,13.55
test-plate-044.dzn,Yes,8.12
test-plate-045.dzn,Yes,5.08
test-plate-046.dzn,Yes,11.43
test-plate-047.dzn,Yes,11.43
test-plate-048.dzn,Yes,7.43
test-plate-049.dzn,Yes,7.95
test-plate-050.dzn,Yes,4.31
test-plate-051.dzn,Yes,9.28
test-plate-052.dzn,Yes,9.59
test-plate-053.dzn,Yes,1145.54
test-plate-054.dzn,Yes,147.98
test-plate-055.dzn,Yes,151.41
test-plate-056.dzn,Yes,148.76
test-plate-057.dzn,Yes,25.14
test-plate-058.dzn,Yes,456.87
test-plate-059.dzn,Yes,550.99
test-plate-060.dzn,Yes,145.45
test-plate-061.dzn,Yes,2209.67
test-plate-062.dzn,Yes,172.57
test-plate-063.dzn,No,2153.24
test-plate-064.dzn,No,8458.89
test-plate-065.dzn,No,2732.56
